SA,SRR,ORIG,REP,T
sa377,SRR7134395,X3,4.0,3
sa378,SRR7134396,X6,7.0,10
sa379,SRR7134397,X6,8.0,1
sa380,SRR7134398,X2,0,0
sa381,SRR7134399,X12,4.0,2
sa382,SRR7134400,X1,4.0,3
sa383,SRR7134401,X8,0,0
sa384,SRR7134402,X9,7.0,12
sa385,SRR7134403,X10,7.0,12
sa386,SRR7134404,X11,7.0,12
